"name","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","cnt_score","essentialNode"
"SHMT2",2.24034334763948,0.0139331099620449,0.446360153256705,0.369230769230769,26,5,FALSE,25.8846153846154,0,26,0,0.985905189231369,FALSE,0,"SHMT2",7306,0.160774008600096,116.7,"Yes"
"SLC2A1",2.42489270386266,0.00561022034594802,0.412389380530973,0.361111111111111,9,5,FALSE,32.3333333333333,0,9,0,0.983808037456106,FALSE,0,"SLC2A1",2670,0.228526398739165,104.516666666667,"Yes"
"SLC6A14",3.55793991416309,0,0.281061519903498,0,1,6,FALSE,13,0,1,0,0.970932500975419,FALSE,0,"SLC6A14",0,0,69.1333333333333,"No"
"SLC7A5",2.56223175965665,0.0278728903677694,0.390284757118928,0.269230769230769,13,5,FALSE,16.3076923076923,0,13,0,0.982247366367538,FALSE,0,"SLC7A5",14536,0.14881380301941,100.983333333333,"Yes"
"SLCO1B3",3.39484978540773,0,0.29456384323641,0,1,7,FALSE,10,0,1,0,0.972785797893094,FALSE,0,"SLCO1B3",0,0,71.7928571428571,"No"
"SLCO4A1",3.55793991416309,0,0.281061519903498,0,1,6,FALSE,13,0,1,0,0.970932500975419,FALSE,0,"SLCO4A1",0,0,69.1333333333333,"No"
"SNRPB",3.07725321888412,0.000815907217817177,0.324965132496513,0.5,5,6,FALSE,20.8,0,5,0,0.976394849785408,FALSE,0,"SNRPB",274,0.374545454545455,83.35,"No"
"SNRPF",2.67811158798283,0.0051828459608407,0.373397435897436,0.230769230769231,13,6,FALSE,27.6923076923077,0,13,0,0.980930550136559,FALSE,0,"SNRPF",2394,0.230128205128205,99.7333333333333,"Yes"
"SOX4",2.56652360515021,0.000199940022474458,0.389632107023411,0.666666666666667,3,6,FALSE,56.3333333333333,0,3,0,0.98219859539602,FALSE,0,"SOX4",356,0.457994579945799,97.7666666666667,"No"
"SOX9",2.57081545064378,0.0121417446752882,0.3889816360601,0.345454545454545,11,6,FALSE,15.3636363636364,0,11,0,0.982149824424502,FALSE,0,"SOX9",12236,0.137175324675325,100.066666666667,"Yes"
"SPINK1",3.52360515021459,0.0015283629123743,0.283800243605359,0,3,7,FALSE,3.66666666666667,0,3,0,0.971322668747561,FALSE,0,"SPINK1",378,0.333333333333333,70.3761904761905,"No"
"SQLE",3.12875536480687,0.00296601042782078,0.319615912208505,0.333333333333333,6,6,FALSE,9.16666666666667,0,6,0,0.975809598127195,FALSE,0,"SQLE",630,0.257142857142857,80.9166666666667,"No"
"SRPK1",2.75965665236052,0.000758611153143825,0.362363919129082,0.428571428571429,7,6,FALSE,46.7142857142857,0,7,0,0.980003901677721,FALSE,0,"SRPK1",666,0.409774436090226,95.1,"No"
"STC2",2.86266094420601,0.00193602464174619,0.349325337331334,0.333333333333333,4,6,FALSE,21.75,0,4,0,0.978833398361295,FALSE,0,"STC2",510,0.26219512195122,89.1833333333333,"No"
"STIL",2.60085836909871,4.01933286694533e-05,0.384488448844884,0.974789915966387,35,6,FALSE,62.6,0,35,0,0.981808427623878,FALSE,0,"STIL",84,0.601923076923077,108.883333333333,"Yes"
"TACC3",2.48497854077253,0.000109601199149439,0.402417962003454,0.958536585365854,41,6,FALSE,62.0731707317073,0,41,0,0.983125243854858,FALSE,0,"TACC3",238,0.530539920783823,114.65,"Yes"
