"","node1","node2","score"
"470","BUB1","TPX2",0.958
"471","BUB1","CDT1",0.614
"472","BUB1","PAICS",0.41
"473","BUB1","TIMELESS",0.54
"474","BUB1","IQGAP3",0.55
"475","BUB1","STIL",0.557
"476","BUB1","LMNB2",0.563
"477","BUB1","RCC2",0.572
"478","BUB1","MYC",0.608
"479","BUB1","CDC25A",0.617
"480","BUB1","CDCA7",0.649
"481","BUB1","UHRF1",0.658
"482","BUB1","MCM3",0.7
"483","BUB1","TK1",0.707
"484","BUB1","CKS1B",0.717
"485","BUB1","RAD54L",0.728
"486","BUB1","UBE2T",0.73
"487","BUB1","PRC1",0.757
"488","BUB1","MCM7",0.796
"489","BUB1","CKS2",0.805
"490","BUB1","DTL",0.811
"491","BUB1","TACC3",0.811
"492","BUB1","RFC4",0.842
"493","BUB1","CDKN3",0.846
"494","BUB1","TYMS",0.846
"495","BUB1","CDCA3",0.87
"496","BUB1","HMMR",0.909
"497","BUB1","KIF15",0.923
"498","BUB1","CEP55",0.928
"499","BUB1","EXO1",0.929
"500","BUB1","PBK",0.935
"501","BUB1","NUSAP1",0.937
"502","BUB1","CHEK1",0.946
"503","BUB1","KIF4A",0.952
"504","BUB1","UBE2C",0.954
"505","BUB1","PTTG1",0.955
"506","BUB1","KIF20A",0.959
"507","BUB1","CENPA",0.969
"508","BUB1","CDCA8",0.971
"509","BUB1","CCNA2",0.981
"510","BUB1","TOP2A",0.982
"511","BUB1","CENPF",0.987
"512","BUB1","KIF2C",0.994
"513","BUB1","TTK",0.999
"514","BUB1","CDC20",0.999
"515","BUB1B","TRIP13",0.928
"516","BUB1B","RNASEH2A",0.453
"517","BUB1B","RAD51AP1",0.747
"518","BUB1B","CDC25B",0.49
"519","BUB1B","CCNB1",0.998
"520","BUB1B","CDK4",0.562
"521","BUB1B","TROAP",0.753
"522","BUB1B","KIF11",0.994
"523","BUB1B","MCM4",0.695
"524","BUB1B","CHTF18",0.518
"525","BUB1B","CSE1L",0.467
"526","BUB1B","POLQ",0.508
"527","BUB1B","MCM2",0.57
"528","BUB1B","SNRPF",0.482
"529","BUB1B","CDCA5",0.851
"530","BUB1B","MYC",0.434
"531","BUB1B","TIMELESS",0.486
"532","BUB1B","CDCA7",0.491
"533","BUB1B","UBE2T",0.59
"534","BUB1B","IQGAP3",0.628
"535","BUB1B","STIL",0.635
"536","BUB1B","CDT1",0.641
"537","BUB1B","RCC2",0.644
"538","BUB1B","CDC25A",0.646
"539","BUB1B","TK1",0.652
"540","BUB1B","MCM3",0.654
"541","BUB1B","UHRF1",0.677
"542","BUB1B","CKS2",0.679
"543","BUB1B","CKS1B",0.692
"544","BUB1B","TYMS",0.72
"545","BUB1B","RAD54L",0.745
"546","BUB1B","RFC4",0.748
"547","BUB1B","MCM7",0.792
"548","BUB1B","EXO1",0.807
"549","BUB1B","DTL",0.811
"550","BUB1B","PCLAF",0.875
"551","BUB1B","CHEK1",0.876
"552","BUB1B","HMMR",0.882
"553","BUB1B","CDCA3",0.886
"554","BUB1B","PRC1",0.893
"555","BUB1B","CDKN3",0.897
"556","BUB1B","KIF15",0.923
"557","BUB1B","TPX2",0.936
"558","BUB1B","PBK",0.937
"559","BUB1B","CEP55",0.939
"560","BUB1B","TACC3",0.946
"561","BUB1B","NUSAP1",0.953
"562","BUB1B","MELK",0.953
"563","BUB1B","KIF4A",0.968
"564","BUB1B","KIF20A",0.977
"565","BUB1B","PTTG1",0.978
"566","BUB1B","TOP2A",0.98
"567","BUB1B","CENPA",0.985
"568","BUB1B","KIF2C",0.991
"569","BUB1B","TTK",0.991
"570","BUB1B","UBE2C",0.991
"571","BUB1B","CCNB2",0.993
"572","BUB1B","CCNA2",0.994
"573","BUB1B","CDCA8",0.994
"574","BUB1B","CDC20",0.999
"575","BUB1B","CENPF",0.999
"576","BUB1B","MAD2L1",0.999
"577","C4BPB","CD55",0.428
"578","CA9","MMP10",0.517
"579","CA9","MET",0.441
"580","CA9","RRS1",0.474
"581","CA9","DPEP1",0.401
"582","CA9","MYC",0.411
"583","CA9","MSLN",0.446
"584","CA9","SLC2A1",0.849
"585","CCL20","GZMB",0.503
"586","CCL20","CXCL6",0.836
"587","CCL20","GDF15",0.544
"588","CCL20","IER3",0.406
"589","CCL20","NMU",0.461
"590","CCL20","IL11",0.447
"591","CCL20","CXCL5",0.999
"592","CCL20","MMP3",0.678
"593","CCL20","CXCL10",0.936
"594","CCL20","MMP1",0.678
"595","CCL20","MMP12",0.442
"596","CCL20","IL24",0.484
"597","CCL20","CCL8",0.779
"598","CCL20","CXCL9",0.866
"599","CCL20","CXCL2",0.951
"600","CCL20","CXCL1",0.981
"601","CCL8","GZMB",0.402
"602","CCL8","CXCL6",0.997
"603","CCL8","CXCL5",0.67
"604","CCL8","CXCL10",0.999
"605","CCL8","CXCL9",0.846
"606","CCL8","CXCL1",0.689
"607","CCL8","CXCL2",0.998
