"PC-1"	"PC-2"	"Batch"	"Group"
"GSM1077676"	73.3797374235727	20.5016480489348	"GSE44076"	"Normal"
"GSM1077677"	72.9877003376646	21.3459368720728	"GSE44076"	"Normal"
"GSM1077678"	72.8692738738068	18.5336915567033	"GSE44076"	"Normal"
"GSM1077679"	73.5531424927643	20.3421966738733	"GSE44076"	"Normal"
"GSM1077680"	71.2074112835661	20.3825538897522	"GSE44076"	"Normal"
"GSM1077681"	71.1913256245297	21.4722537277375	"GSE44076"	"Normal"
"GSM1077682"	73.6119542310845	20.8346943145141	"GSE44076"	"Normal"
"GSM1077683"	71.9115554356344	19.6249630618445	"GSE44076"	"Normal"
"GSM1077684"	75.2860774520607	19.885553886743	"GSE44076"	"Normal"
"GSM1077685"	73.3246154024268	18.7923104823063	"GSE44076"	"Normal"
"GSM1077686"	73.49169737085	20.6293944929903	"GSE44076"	"Normal"
"GSM1077687"	74.1350346751825	18.876699784363	"GSE44076"	"Normal"
"GSM1077688"	72.726468848666	19.8889192060535	"GSE44076"	"Normal"
"GSM1077689"	72.7796977239855	19.4763039822778	"GSE44076"	"Normal"
"GSM1077690"	72.438479679824	20.2811826847316	"GSE44076"	"Normal"
"GSM1077691"	74.6936502108246	20.3007403788354	"GSE44076"	"Normal"
"GSM1077692"	72.0510803684985	18.4962402957738	"GSE44076"	"Normal"
"GSM1077693"	72.5689817915643	20.6474175323869	"GSE44076"	"Normal"
"GSM1077694"	76.1184176704072	13.2467285787055	"GSE44076"	"Normal"
"GSM1077695"	77.5387922349459	19.6863119980351	"GSE44076"	"Normal"
"GSM1077696"	72.4678514269138	20.4230470759906	"GSE44076"	"Normal"
"GSM1077697"	71.9506553150102	19.8055730674022	"GSE44076"	"Normal"
"GSM1077698"	72.5584981765369	19.5990900744521	"GSE44076"	"Normal"
"GSM1077699"	71.0555170814139	20.5923588063143	"GSE44076"	"Normal"
"GSM1077700"	70.2890530360548	21.567881749202	"GSE44076"	"Normal"
"GSM1077701"	72.5549422594504	20.5686448402745	"GSE44076"	"Normal"
"GSM1077702"	72.2158800750401	19.7672032791841	"GSE44076"	"Normal"
"GSM1077703"	74.2588314912199	20.3260803349134	"GSE44076"	"Normal"
"GSM1077704"	72.3699625662951	20.5821045995959	"GSE44076"	"Normal"
"GSM1077705"	73.2441851409827	20.1684876778954	"GSE44076"	"Normal"
"GSM1077706"	72.7743287124855	17.3024439052727	"GSE44076"	"Normal"
"GSM1077707"	71.5219273385785	21.0105505421164	"GSE44076"	"Normal"
"GSM1077708"	77.3650377815892	8.45991145768668	"GSE44076"	"Normal"
"GSM1077709"	71.9142568112359	21.5798092407685	"GSE44076"	"Normal"
"GSM1077710"	70.9683920057375	19.4539402158728	"GSE44076"	"Normal"
"GSM1077711"	72.1946785933464	21.9298270545804	"GSE44076"	"Normal"
"GSM1077712"	76.3183221121157	13.4951790361801	"GSE44076"	"Normal"
"GSM1077713"	72.4745718941764	18.7221303066955	"GSE44076"	"Normal"
"GSM1077714"	72.0685453739365	19.1023688564926	"GSE44076"	"Normal"
"GSM1077715"	70.6671130201934	21.0873882648577	"GSE44076"	"Normal"
"GSM1077716"	73.2099934063214	20.444355582604	"GSE44076"	"Normal"
"GSM1077717"	73.0321967698606	18.9421106666669	"GSE44076"	"Normal"
"GSM1077718"	75.1088677513523	19.608523219074	"GSE44076"	"Normal"
